bedrooms,bathrooms,sqft_lot,floors,condition,yr_built,price
4,2.5,4310,2,3,2004,430000
3,1.75,7875,1,4,1986,212000
4,2.25,9603,1,3,1986,660500
3,3.5,111078,1.5,3,1989,784000
3,2.5,2287,2,3,2014,453246
4,3.5,2278,3,3,2005,675000
3,1.75,17390,1,4,1956,199000
4,1.75,7840,1,3,1968,220000
4,2.25,10002,1,4,1968,452000
2,1,4440,1,3,1981,382500
3,2.25,1249,3,3,2014,519950
2,1,3200,1,3,1925,665000
5,2.5,9375,1,4,1968,527700
3,1,8579,1,4,1962,205000
3,1,8097,1,4,1923,420000
4,2.25,8517,1,4,1961,500000
4,2.5,315374,2,4,1994,921500
4,1,4000,2,3,1905,890000
2,2.5,60984,2,3,2007,430000
5,2,12500,1,4,1960,258000
3,1,3455,1,3,1947,511000
3,2,3090,2,3,1990,532170
3,1,5000,1.5,3,1947,560000
3,1,8200,1,4,1954,282950
4,3.25,19850,2,3,2006,2.25E+06
1,1,5100,1,3,1942,350000
3,1,7669,1,4,1967,215000
5,3.5,25245,2,3,1996,650000
4,2.75,7500,1,3,1967,320000
3,2,7198,1.5,3,1916,247000
4,1.75,11180,1,4,1968,320000
5,2.25,8632,1,3,1962,255000
3,1.75,9660,1,3,1962,438000
3,2.5,16603,2,3,2000,900000
3,2.75,7280,1,3,1979,441000
3,2,38332,1,4,1975,420000
3,1.75,7000,1,3,1976,370000
2,1.75,7250,1,5,1949,269950
4,2.5,4499,2,3,1999,807100
3,2.5,9750,1,4,1979,653000
3,2,8336,1,5,1964,371500
3,1.75,21000,1,3,1954,284000
3,1.75,7140,1,4,1978,272000
3,1.5,7912,1.5,3,1955,313000
4,2.5,35003,2,3,1984,917500
4,2.25,8190,2,4,1980,673000
3,2.5,1100,2,3,2008,425000
5,2.75,5400,1,3,1986,399950
3,1,4800,1,3,1901,385000
3,1.5,7560,1,4,1975,269950
2,1,8220,1,3,1949,330000
3,2.5,5797,2,3,1988,260000
4,3,5125,1.5,4,1925,470000
4,3,9600,2,5,1961,589000
2,1.5,3419,2,3,1996,163500
4,2.75,13412,2,3,1993,835000
5,3,12850,1,4,1986,1.10E+06
4,1.75,10000,1,4,1969,269000
3,2.5,8744,2,3,1987,560000
4,1,2400,1.5,4,1901,615000
3,2.25,10026,1,3,1975,585188
3,1.75,9480,1,3,1977,305000
3,1,8820,1,3,1959,166950
3,2.5,9897,1,4,1959,799000
3,2.5,7508,1,4,1962,400000
3,1,10228,1,3,1948,230000
3,2.5,5025,2,3,2003,256883
4,2,6480,1.5,5,1920,423000
3,2.5,4084,2,3,2007,465000
3,2.5,66211,2,3,1997,440000
3,1.75,155073,1,4,1969,385000
3,1,11725,1,4,1943,210000
3,2.5,14952,2,3,1994,297000
3,1,5000,1,3,1952,470000
3,1.5,7370,1,4,1976,226500
3,1,8450,1,4,1962,274250
4,1.75,11010,1,4,1966,840000
3,2.5,4587,2,3,2010,677900
3,1,5864,1,3,1915,425000
2,0.75,9600,1,3,1941,180250
6,3,3404,2,3,1920,464000
4,2.25,7579,2,3,1993,320000
3,2.25,1566,2,3,2014,625504
4,2.5,12032,1,3,1983,592500
3,2.5,17936,2,3,2005,465000
4,2.75,6270,2,3,1978,477000
2,1,16400,1,3,1923,280000
5,3,33474,1,3,1957,1.51E+06
3,2.5,5692,2,3,2000,445838
2,2.25,14864,1,3,1947,1.07E+06
2,1.5,10800,1,4,1947,467000
4,2.5,6440,2,3,1999,686000
3,2,9750,1,3,1961,279950
4,2.25,19436,2,3,1987,527000
3,2.25,16020,1,4,1966,325000
3,2.25,8379,2,3,1994,328000
3,2.25,7500,1,5,1942,390000
2,2,6516,1,3,2005,479950
4,2.25,9753,1,4,1978,264950
3,1,15246,1,4,1961,235000
3,2.5,4729,2,3,2004,516500
2,1.75,15798,2,3,1915,655000
4,2.75,15347,1,5,1960,500000
6,2.75,7350,1,3,1978,315000
2,1,10200,1,3,1961,213000
3,1.5,5280,1.5,5,1947,475000
5,4,28040,2,3,1983,1.03E+06
3,2,94300,1,5,1976,416000
4,1,4740,1.5,3,1904,410000
3,3.5,221284,2,3,1993,800000
6,2.5,14034,1,4,1965,472000
3,1.75,8505,1,4,1968,225000
2,1,6000,1,3,1940,210000
2,1,5000,1.5,2,1925,455000
3,1,8316,1,4,1954,225000
2,1,3060,1,4,1918,480000
3,2.5,11872,2,3,1990,363000
4,2.5,8354,1,3,2000,2.40E+06
2,1.5,5120,1,3,1954,181000
4,2,7312,1,4,1976,250000
3,1.75,3000,1,4,1918,481000
3,2,7209,1,4,1978,260000
4,2.5,7685,2,3,2001,455000
3,2.25,36224,2,3,1991,415000
3,1,3538,1,3,1953,349500
3,2.5,7442,2,3,1987,245000
2,2,9191,1.5,5,1928,592500
4,1.75,7620,1,4,1955,385000
3,1.75,11455,1,4,1974,315000
3,1,10170,1,3,1979,255000
4,2.5,4425,2,3,2006,693000
3,1,4400,1.5,3,1911,780000
3,1.75,8470,1,4,1960,237000
3,2.25,40510,2,3,1979,525000
2,1,5040,1,3,1930,425000
1,0.75,10079,1,5,1936,369900
4,2.5,7280,2,4,1988,290000
3,1,10701,1,3,1954,285000
2,1,4500,1,3,1937,415000
3,2.5,9900,1,3,1979,272500
4,3.25,20100,1.5,3,1982,2.90E+06
4,4.75,57346,2,4,1989,1.37E+06
2,1,7538,1,4,1939,436000
3,1,11390,1,4,1967,210000
3,1,5898,1,3,1961,236000
3,1.75,1306,1,3,1954,331000
3,2.5,4510,2,3,2006,365000
3,2,16258,1,5,1960,450000
4,2.75,26300,2,3,2014,770000
4,2.5,49375,1,3,1997,455000
3,1.75,6000,1,3,1908,405000
4,1.75,11325,1,4,1969,304900
2,1,5265,1,3,1931,170000
5,3,8480,2,5,1905,2.05E+06
4,2.5,7048,2,3,2005,780000
3,3,13959,1,4,1988,330000
4,2.5,8666,2,3,1992,370000
5,2.25,13500,1,3,1979,467000
3,1.75,6720,1,3,1980,405000
5,2.25,10300,1,3,1985,675000
2,1,14100,1,4,1954,500000
4,2.5,15770,2,4,1968,389999
4,1.75,9025,1,4,1975,630000
4,2.5,9528,2,3,1992,360000
4,3,11060,2,3,1986,580000
3,2,4166,2,5,1929,550000
4,2.5,22111,2,3,1994,879000
3,2,8959,1,3,1993,265000
3,2.5,7286,2,3,1990,446500
3,1.5,8880,1,3,1963,404000
3,1.75,11914,1,3,1957,267500
4,5,18641,1,3,2002,3.08E+06
3,2.5,7632,2,3,1998,335000
3,2.5,9000,1,4,1948,576000
3,2.5,3810,2,3,2006,208633
3,2.25,8750,1,4,1964,315000
3,1.75,3300,1,4,1913,725000
4,2.75,7750,1,4,1965,550000
4,2.25,7297,2,3,1984,610750
2,1,5000,1.5,4,1908,550700
4,2.75,10574,2,5,1960,665000
4,2.5,4000,1.5,5,1928,834000
5,1.75,78408,1.5,3,1915,201000
5,2.5,9050,2,5,1921,2.38E+06
4,3.25,12103,1,3,1997,1.38E+06
4,3.25,12103,1,3,1997,1.40E+06
4,2.25,7700,1,3,1979,305000
3,2,14052,1,5,1948,487000
3,2.5,64904,1,4,1988,390000
2,1,3864,1,4,1916,548000
4,1,8775,1,3,1943,268750
5,2.75,7119,2,3,2013,819900
3,2.25,16200,2,3,1984,520000
3,2,11204,1,3,2003,230000
3,1.75,10248,1,3,1969,240000
2,1,12092,1,3,1922,232000
2,1,12092,1,3,1922,240500
3,2.5,45004,2,3,1987,274975
4,2,4400,1.5,4,1922,740000
3,1,7636,1,2,1952,186375
3,2.25,10289,1,4,1977,790000
4,3.5,6750,2,3,1951,880000
6,1.75,11180,2,4,1955,279000
3,2,10530,1,3,1991,295000
2,1,5000,1,3,1924,640000
4,2,9525,2,5,1968,940000
4,2.5,5238,2,3,2003,260000
3,2.75,5569,1,3,2004,559900
4,2,3500,1.5,5,1911,791500
3,1.75,8250,1,3,1954,265000
3,1.75,11547,1,3,1954,245000
4,1.75,43995,2,4,1962,485000
4,3.5,8414,2,3,2010,684000
3,1.75,6840,1,3,1957,425000
4,1.75,20000,1,4,1991,309600
4,2.5,5823,2,3,2002,552250
4,1,7134,1,3,1943,165000
4,1,7134,1,3,1943,239900
2,1,32633,1,4,1930,320000
3,2,13464,1,4,1987,206600
4,1.75,7690,1,3,1973,387000
1,0.75,12120,1,3,1967,299000
4,2.75,10460,2,3,1965,855000
3,1,14400,1,4,1954,315000
2,1,3120,1,5,1907,437500
4,1.5,19800,1,4,1969,252000
4,1.75,7475,1,5,1955,375000
4,2.5,4862,2,3,2005,300000
4,1,9600,1.5,4,1954,420000
3,1,77972,1,3,1928,900000
3,2.5,5750,2,3,2000,679900
3,2.5,29970,2,3,1992,463000
5,2.5,11340,2,4,1978,380000
4,2.5,7912,2,3,1994,329500
3,2.5,5608,1,3,2013,604950
5,2.5,9570,1,4,1966,795000
3,2,40438,2,3,1994,465000
4,2.5,10400,2,3,2002,673000
4,2.5,15420,2,3,1991,810000
4,2.75,69415,1,4,1989,785000
4,3,7500,1,3,1986,338000
3,2.25,7222,2,3,1993,280000
4,2.25,10754,1,5,1954,315000
4,2.25,10754,1,5,1954,530000
5,3,9914,2,3,2004,380000
3,2.25,7562,2,3,1994,297000
4,2.5,7331,2,3,2004,730000
3,1.75,13500,1,3,1940,450000
3,3,7750,1,3,1997,275000
4,2,2849,2,3,1960,595000
3,1.5,3348,1.5,3,1904,435000
2,1.5,209959,1,1,1954,270000
3,3,14338,2,3,1986,950000
4,2.25,5337,2,3,2001,389000
4,2.25,7800,1,3,1968,560000
5,3.5,14984,2,3,1998,1.35E+06
4,2.25,11585,2,4,1969,799000
3,2,9600,1,4,1983,365500
3,2,7352,1,3,1979,252350
4,2.5,13780,2,3,1993,403950
4,1.5,10726,1,3,1954,385000
4,1,7620,1.5,3,1957,345000
3,2.75,3128,2,4,1979,490000
3,2.5,26977,2,3,2005,330000
4,2.75,12090,2,3,1953,927000
4,2.5,16619,2,4,1983,1.12E+06
2,1,10000,1,5,1950,330000
5,2.25,8800,1,4,1958,530000
4,2,25600,1,1,1962,365000
3,2.5,3000,1.5,3,1909,378750
4,1.75,8750,1.5,4,1968,269900
3,3.5,2096,2,3,2008,557000
4,1.75,16980,1,4,1974,360000
2,1,5000,1,4,1937,352000
3,2.5,22357,2,3,1994,437000
4,2.5,6753,2,3,1994,322500
3,3.25,2000,2,3,2001,650000
3,2,1213,3,3,2001,450000
3,2,5250,1,3,1998,278500
4,2.5,6957,2,3,1995,364950
4,3.5,40139,1,4,1986,840000
3,2.5,8134,2,3,1991,268000
2,1,143947,1,3,2006,517534
3,2.5,32239,2,4,1978,632925
3,2.5,7251,2,3,1995,577500
4,1.5,7480,1.5,3,1920,339000
3,1.75,37461,1,4,1967,570000
4,1.75,174240,1,3,1964,563500
4,2.25,9351,1,5,1962,423000
3,2.25,5028,2,3,2012,355000
5,4.25,171626,2,3,1999,1.55E+06
2,1,3960,1,3,1941,482000
3,1.75,9135,1,5,1955,625000
3,2.5,11632,2,3,1988,538000
3,2.5,10255,2,4,1985,380000
2,1,5120,1,3,1909,375000
3,2.5,8500,1,5,1996,245000
5,1.75,27260,1,4,1947,310000
3,2,15021,1,4,1976,1.30E+06
4,2,7680,1,3,1971,397000
3,2.5,4052,2,3,2005,365000
4,3,8250,2,3,1990,328500
4,3,19700,2,3,1987,988000
4,2.5,3277,1.5,5,1922,1.00E+06
3,2.5,2138,2,3,2005,237000
4,2.5,5280,2,3,2003,525000
4,2.5,9627,1,3,1976,749000
5,2.5,11800,2,3,1983,722500
3,2.5,8750,2,3,1991,843000
2,2,1372,3,3,2000,438000
3,1.75,10875,1,3,1977,578000
3,1.5,8230,1,5,1954,227950
3,2.25,11576,2,3,1974,196000
2,1,5332,1,3,1953,641000
3,1.5,219978,1,4,1980,350000
3,1,7980,1,4,1960,205000
3,1.75,9102,1,3,1968,400000
3,2.5,9816,1,3,2005,1.03E+06
3,2,5460,1,3,1972,505000
5,2.5,7200,1,3,1975,475000
3,2.25,9263,1,5,1977,520000
3,4.5,24920,2,3,1977,1.45E+06
3,1.75,9732,1,3,1965,333500
3,1,10403,1,4,1976,232000
3,2.75,16117,1,4,1983,691100
3,1.75,9897,1,4,1960,811000
3,2.5,5802,2,3,2001,551000
3,2.5,3640,2,3,1994,496500
3,3,20978,2,4,1980,705000
4,2.5,9225,1,5,1966,578000
3,1.75,8659,1,5,1986,255000
4,3.5,7832,2,3,2007,1.05E+06
3,2.25,8491,2,4,1989,348000
3,2,3413,2,3,1985,230000
4,2.25,11250,2,3,1988,359500
3,1,7000,1,3,1953,330000
1,0.75,5050,1,2,1912,80000
3,1.75,6360,1,3,1954,465000
4,2.5,7324,2,3,1997,325000
3,2,28025,1,4,1947,340500
3,2.5,5192,2,3,1993,342500
2,2,17600,2,3,1930,290900
3,4.25,6161,2,3,2000,868700
4,2.75,8400,2,3,1928,1.20E+06
4,3.25,10259,2,3,2000,1.15E+06
4,2.75,6298,2,3,2011,859900
4,2.25,3006,2,3,2003,520000
3,2.5,2527,2,3,2005,460000
3,1.5,4590,1,3,1949,438924
2,1,6550,1,3,1918,315000
4,2.75,10650,1,3,1975,590000
4,1.75,8640,1,3,1955,378500
3,2.5,8130,2,4,1990,328500
3,3,9773,2,4,1973,849950
3,1.5,6000,1,3,1950,525000
4,3.25,181319,2.5,3,1993,1.39E+06
4,2.5,7725,1,4,1978,295000
6,3.5,11793,2,3,1998,1.07E+06
2,2,5000,1,3,1917,207950
4,2.75,7302,2,3,2002,699900
5,2.5,9500,2,4,1977,1.28E+06
4,1.5,7350,1,4,1963,452000
3,2,5036,1,4,1987,370000
3,1.75,11230,1,5,1968,232000
5,2.5,14062,2,4,1960,669950
3,2,6710,1,3,1972,397500
2,2.5,1391,2,3,2004,490000
4,2,4140,2,3,1925,725000
3,2.75,19635,1,4,1958,299000
2,1.5,5750,1.5,4,1900,625000
3,2.5,4500,2,3,2000,437500
4,2.5,5438,2,3,2003,650000
2,1,3825,1,3,1929,475000
3,2,11947,1,4,1966,342000
4,2.5,7800,2,3,1999,1.20E+06
3,1.5,11610,1,4,1963,280000
2,1.75,7200,1,3,1993,240000
3,1,3328,1.5,4,1924,529000
3,1,5100,1,4,1941,442000
2,1,6872,1,4,1946,615000
4,3.75,10800,2,3,2006,1.49E+06
4,1.75,7559,1,4,1981,585000
4,2.5,7787,2,3,2005,480000
5,3.5,57063,2,4,1990,1.10E+06
4,1,8184,1.5,3,1949,290000
3,1.75,5000,1,5,1951,615000
2,1,7680,1,4,1950,300000
3,1,39150,1.5,3,1932,308000
3,2.5,7745,2,3,2001,750000
4,2.25,8036,2.5,5,1916,2.25E+06
4,3.25,194278,2,3,2005,890000
3,1,7560,1,5,1958,288000
2,1,6000,1,3,1943,190000
5,3,5105,1,3,2005,515000
4,1.5,11054,1,4,1930,235000
2,1,5000,1,3,1951,275000
2,2,9119,1,4,1952,727500
4,2.5,6587,2,3,2003,650000
6,5,230652,2,3,2001,1.60E+06
4,1,7085,1.5,3,1944,365000
3,1.75,36947,1,3,1984,662000
3,2.5,7848,1,3,1978,270500
2,1.5,1898,2,3,1978,200000
4,3.25,76230,2,3,1987,970000
3,1.5,9600,1,4,1962,160000
3,1,7405,1,4,1971,204000
3,2.25,6655,2,4,1985,358000
4,1.75,8268,1,3,1979,452000
2,2,4000,1,4,1900,595000
3,2,6082,1,3,1994,249000
4,2.5,5106,2,3,1999,346900
3,2.5,24069,2,4,1976,2.13E+06
4,2.5,4350,2,3,2003,280000
4,1.75,12000,1,4,1973,318888
3,2.25,40518,1,3,1967,530000
3,2.25,18500,2,4,1983,375000
4,2.5,29242,2,3,1988,910000
4,2.5,9614,2,4,1991,782000
2,2,649,2,3,2008,259950
4,2.75,18360,1,4,1979,315000
2,1,8865,1,4,1943,215000
3,1.75,10221,1,4,1946,705000
3,3,6320,2,5,1952,1.45E+06
3,1.75,9813,2,3,1949,451000
2,1,8125,1,4,1943,261000
3,1.5,8280,1,5,1956,396000
4,2.5,29170,2,3,1999,725000
7,3.5,15235,2,3,1965,1.95E+06
4,1,7242,1.5,3,1959,238000
6,1.75,9563,2,4,1973,750000
4,2.5,10271,2,3,1998,331500
4,3,108900,1,3,1978,460000
4,2.25,217014,1,4,1982,404950
3,2.5,5163,2,3,2014,880000
4,2.5,22370,2,3,1997,863000
3,1.75,9162,1,3,1960,638700
3,2.5,5680,2,3,2008,435000
3,1,5350,1.5,4,1959,260000
5,2.75,4000,1.5,5,1927,671500
3,1,3400,1.5,3,1907,610000
2,0.75,15029,1,4,1937,405000
4,2.5,5612,2,3,2003,338900
4,4,7708,2,3,2004,720000
5,3,5445,1.5,4,1927,442000
5,2.75,5040,1.5,5,1902,650000
3,1.75,9917,1,3,1981,263500
2,1,75794,1,4,1963,300000
3,2.5,3402,2,3,2009,266000
4,4,84942,2.5,3,2009,930000
4,2.5,5493,2,3,2004,530000
3,1,8960,1,4,1965,180000
3,2.5,6439,2,3,2005,619000
3,1.5,10608,1,4,1962,264000
2,2.25,4920,1.5,4,1941,730000
4,2.25,10070,2,3,1975,439000
4,1.75,7500,1,4,1981,268500
3,1.75,15744,1,3,1985,330000
3,2.5,4000,1.5,3,1903,640000
3,2.5,12600,2,4,1978,900000
3,2.25,13300,2,4,1985,370000
3,2,2900,1.5,5,1931,685000
3,1.5,217800,1,3,1981,505000
3,1.75,32666,1,4,1966,265000
3,2.5,2937,2,3,2006,290000
4,2.5,3600,2,3,2006,296000
4,2.5,9611,2,3,1996,360000
3,1.75,10584,1,3,1997,240500
2,2.5,2958,2,3,2007,372500
3,2.5,14402,2,3,2004,595000
4,3,8249,2,3,1997,515000
4,2.25,15367,2,4,1962,1.22E+06
2,1.75,6460,1,3,2004,507000
4,2,31465,1,3,1984,399950
3,1.75,10816,2,3,1994,185000
3,1.75,7070,1,3,1980,460000
3,2.25,4789,2,3,1985,435500
4,2.75,13938,1,5,1966,469000
2,3,1175,2,3,2000,531000
2,1,6804,1,3,1949,443500
3,2,6824,1,3,1990,223000
4,3.5,15842,2,3,1996,590000
2,2.5,1760,3,3,1997,340000
3,2,3388,1,4,1925,650000
3,2.5,5080,2,4,1990,533600
3,2.75,4694,2,3,2005,695000
3,1.75,7524,1.5,4,1988,242000
3,2.25,8814,1,3,1967,425000
3,2.25,9414,2,3,1981,525000
3,2.5,5502,2,3,1988,485000
3,1,9775,1,3,1971,175000
3,2,7210,1,3,1983,210000
3,2.5,7415,2,3,1989,260000
3,2.5,5750,1,3,1976,577000
3,1.5,10588,1,4,1958,200000
2,1.75,5000,1,4,1927,605000
3,1,6750,1,4,1947,325000
3,1,6400,1,4,1944,289500
3,2.5,1458,3,3,2014,559950
3,1.75,9375,1,4,1941,1.04E+06
3,2.25,2790,1,3,1970,543500
4,2.25,34293,2,4,1983,480000
3,1,9633,1,5,1982,218000
2,1.75,6000,1,4,1914,565000
3,1.75,7700,1,5,1968,426700
3,2.5,11575,1,3,1957,650000
2,1,3060,1,3,1910,542000
3,1.75,8000,1,3,1977,415000
3,1,8316,1,4,1953,214000
3,1.5,8910,2,5,1949,245000
3,2,13303,1,3,1993,314500
3,1.5,5750,2,5,1924,1.12E+06
2,2,3850,1,3,1963,378000
4,2.5,9091,1,3,1982,305000
5,2.75,6750,1,4,1978,595000
3,2.5,1091,3,3,2015,729500
3,2.5,6699,2,3,2003,430000
3,1.75,6500,1,3,1987,240000
3,1.75,6200,1.5,3,1916,545000
3,1.75,2500,1,3,1918,530000
1,1,26326,1,3,1939,157000
4,1,7645,1.5,3,1925,425000
3,1,6020,1,3,1944,220000
4,1.75,36400,1,4,1976,521000
3,1,6862,1,3,1952,325000
3,2,5400,1.5,4,1911,597500
3,2.5,3976,2,3,1999,337000
3,2.5,10492,2,3,1991,1.00E+06
3,2.5,55867,1,4,1957,3.07E+06
3,1,6000,1,3,1943,495000
4,3.5,3330,2,3,2001,748000
3,1.5,8710,1,4,1953,888000
3,1.75,22267,1,3,1986,269900
4,2.5,14440,1,3,1967,496500
3,2.5,5097,2,3,1969,475000
3,1.5,1374,3,3,2004,312000
3,1,12231,1,3,1976,323000
3,1.75,9079,1,3,1986,331000
3,1.5,1086,3,3,2007,306000
4,2.5,4000,3,3,2002,655000
3,1.5,15954,1,4,1959,290000
4,3.25,5000,2,5,1965,1.25E+06
3,1.75,4708,1,4,1949,460000
4,2.5,6380,1,4,1940,435000
4,2.75,11880,1,5,1978,664000
4,1.75,4180,2,4,1921,865000
3,1.75,18000,1,3,1968,385000
3,2.25,9315,1,3,1975,497000
2,1,3000,1,4,1925,280000
2,1.5,17487,1,3,1924,188000
3,1,4755,1,3,1969,478500
4,3.5,18361,2,3,2001,1.15E+06
3,2,7187,1,4,1981,222000
4,3,209523,2,3,1984,799000
4,2.5,7399,2,3,2006,609900
4,3.5,5809,2,4,1995,413000
4,1,4875,1.5,3,1930,400000
5,2.75,6768,2,3,2014,802541
3,2.5,7757,2,3,1990,320000
4,2.5,7649,2,3,2006,507000
3,1,8329,1,3,1946,387500
3,1,12616,1,3,1967,396000
3,1.75,11788,1,3,1958,373000
5,2.5,19252,2,5,1965,1.48E+06
4,2.25,7698,2,3,1983,359900
2,1,4342,1,3,1927,410000
4,2.5,23488,2,3,1992,690000
3,2,5760,1,3,1985,245000
5,2.5,25958,1,5,1979,700000
4,1.75,9966,1,3,1977,268000
3,1.75,26055,1,3,1979,225000
4,2.25,11034,2,3,1976,980000
2,1,5000,1.5,3,1905,795000
2,1,5100,1,3,1953,195000
4,2,10575,1,2,1950,480000
4,2,3600,1,3,1900,485000
2,1,9000,1,3,1928,130000
2,1,5703,1,4,1946,325000
3,1.75,7245,1,4,1984,440000
4,1.75,14782,1,3,1958,550000
3,1.75,7150,1,5,1967,310000
3,2.5,39478,2,4,1989,530000
4,2.5,8548,2,3,1993,390000
3,1.75,12125,1,4,1981,243000
4,2.5,9875,2,3,1990,639000
4,1,7400,1,4,1969,215000
5,1.75,10500,1,3,1961,405000
4,1.75,7140,1,5,1968,250000
3,1.5,8108,1,5,1954,405500
6,2.25,13579,2,3,1937,452000
6,2.25,13579,2,3,1937,730000
3,2,9644,1,3,1994,267000
3,2.5,6186,2,3,2002,289950
2,1,4080,1,5,1911,565000
4,3.25,51836,2,4,1988,1.58E+06
3,2.5,2770,2,3,2007,636000
5,3,5500,1,3,2004,350000
3,1.5,9380,1,5,1978,320000
2,1.75,5680,1,4,1978,210000
2,1,5900,1,3,1950,245000
3,1.75,7650,1,3,1983,328000
4,2.25,37769,2,3,1989,985000
3,1.75,7972,1,5,1976,501000
3,2.25,17424,2,3,1992,315000
3,2.75,8354,2,3,2012,403000
3,2,17950,2,4,1934,550000
4,2.5,3562,2,3,2012,347500
4,2.25,8893,2,4,1986,365000
3,1,8167,1,4,1951,588000
3,1.75,7400,1,4,1977,605000
3,3.25,5979,2,4,1937,1.30E+06
3,2,9177,1,3,1974,233000
